budget,budget_pct,r2,rmse,n_clip,r2_gain,efficiency
0.0,0.0,0.3973,0.00169,0,0.0,0.0
0.05,5.0,0.3973,0.00169,141,0.0,0.0
0.1,10.0,0.4331,0.00164,283,0.0358,14.799503866062405
0.15,15.0,0.4402,0.00163,424,0.042899999999999994,17.734601001510534
0.2,20.0,0.4655,0.00159,566,0.06820000000000004,28.193468258811638
0.3,30.0,0.4952,0.00155,849,0.09789999999999999,40.47126895216507
0.4,40.0,0.5196,0.00151,1133,0.12229999999999996,50.55808164300088
0.5,50.0,0.5382,0.00148,1416,0.14090000000000003,58.247209349949536
0.6,60.0,0.5414,0.00147,1699,0.1441,59.57007003071488
0.7,70.0,0.5627,0.00144,1983,0.1654,68.37536143705927
0.8,80.0,0.5836,0.0014,2266,0.18630000000000002,77.015295258308
1.0,100.0,0.6392,0.00131,2833,0.2419,99.99999958660604
